Label,Backtest_ID,Curve_ID,Asset,Expiration,StrikePercent,A,B,C,D,t_params,bet_fractions,curve_points
ethereum-full,0,0,ethereum,14,1.1,0.0264815034861688,1.177164124047473,8.366017963345884,0.1095605656397969,[3.65465233e-06 3.39328471e-02 1.09131893e+00 2.26052522e+00],"[0.         0.02040612 0.04081224 0.06121837 0.08162449 0.10203061
 0.12243673 0.14284286 0.16324898 0.1836551  0.20406122 0.22446735
 0.24487347 0.26527959 0.28568571 0.30609184 0.32649796 0.34690408
 0.3673102  0.38771633 0.40812245 0.42852857 0.44893469 0.46934082
 0.48974694 0.51015306 0.53055918 0.55096531 0.57137143 0.59177755
 0.61218367 0.6325898  0.65299592 0.67340204 0.69380816 0.71421429
 0.73462041 0.75502653 0.77543265 0.79583878 0.8162449  0.83665102
 0.85705714 0.87746327 0.89786939 0.91827551 0.93868163 0.95908776
 0.97949388 0.9999    ]","[0.10956057 0.10999551 0.11043508 0.11087938 0.11132855 0.11178271
 0.112242   0.11270658 0.1131766  0.11365222 0.11413362 0.11462098
 0.1151145  0.11561438 0.11612087 0.11663418 0.11715458 0.11768235
 0.11821778 0.1187612  0.11931294 0.1198734  0.12044298 0.12102213
 0.12161135 0.12221119 0.12282225 0.12344521 0.12408082 0.12472993
 0.12539351 0.12607265 0.12676863 0.12748291 0.12821722 0.1289736
 0.1297545  0.13056292 0.13140257 0.13227814 0.13319572 0.13416341
 0.13519242 0.13629894 0.13750777 0.13886004 0.14043227 0.14239534
 0.14529201 0.15932089]"
bitcoin-full,0,1,bitcoin,14,1.0,0.0110752318397771,1.4491198129075114,17.027971973140204,0.0924184430285299,[0.00278781 0.01929116 1.00899602 2.00000045],"[0.         0.02040612 0.04081224 0.06121837 0.08162449 0.10203061
 0.12243673 0.14284286 0.16324898 0.1836551  0.20406122 0.22446735
 0.24487347 0.26527959 0.28568571 0.30609184 0.32649796 0.34690408
 0.3673102  0.38771633 0.40812245 0.42852857 0.44893469 0.46934082
 0.48974694 0.51015306 0.53055918 0.55096531 0.57137143 0.59177755
 0.61218367 0.6325898  0.65299592 0.67340204 0.69380816 0.71421429
 0.73462041 0.75502653 0.77543265 0.79583878 0.8162449  0.83665102
 0.85705714 0.87746327 0.89786939 0.91827551 0.93868163 0.95908776
 0.97949388 0.9999    ]","[0.09241844 0.09259856 0.09278018 0.09296337 0.09314817 0.09333463
 0.09352281 0.09371277 0.09390457 0.09409828 0.09429397 0.09449172
 0.09469161 0.09489372 0.09509815 0.09530501 0.0955144  0.09572644
 0.09594127 0.09615901 0.09637983 0.09660389 0.09683139 0.09706251
 0.0972975  0.09753659 0.09778008 0.09802827 0.09828153 0.09854026
 0.09880492 0.09907605 0.09935427 0.09964031 0.09993504 0.10023949
 0.10055492 0.10088287 0.10122531 0.10158472 0.10196437 0.10236868
 0.10280386 0.10327899 0.10380821 0.10441542 0.10514598 0.10610385
 0.10763203 0.11776717]"
