,Unnamed: 0,asset,strike_pct,duration,util,mood,train_start_date,train_end_date,date_start,date_end,strike,years,max_drawdown_percentiles,cagr_percentiles,sharpe_percentiles,asset_label,kelly_params,engine,0_percentile_max_drawdown,25_percentile_max_drawdown,50_percentile_max_drawdown,75_percentile_max_drawdown,100_percentile_max_drawdown,0_percentile_cagr,25_percentile_cagr,50_percentile_cagr,75_percentile_cagr,100_percentile_cagr
10,10,Aave,0.0,14,0.5,Full History,2020-10-14,2021-10-31,2020-10-14,2021-10-31,1.0,2.73972602739726,[0.11540756 0.31541296 0.40272665 0.50891764 0.86745954],[-0.50991657 -0.06789387  0.06272858  0.21728553  0.82145795],[-0.06841727 -0.00286801  0.01902946  0.04389926  0.13904744],Aave_S=0.0_D=14_M=Full History,[0.01506642 0.72767718 0.66077878 0.07263378],kelly,0.11540756189322418,0.3154129623491081,0.4027266489975305,0.5089176364259003,0.8674595388832066,-0.509916568443868,-0.06789387439286404,0.06272858194935316,0.21728552783865213,0.821457945361941
11,11,Aave,0.0,30,0.5,Full History,2020-10-14,2021-10-31,2020-10-14,2021-10-31,1.0,2.73972602739726,[0.0304532  0.23320941 0.32391171 0.41903069 0.71106857],[-0.31066008 -0.06589628  0.04527342  0.15714532  0.52880983],[-0.05248728 -0.0056295   0.01690553  0.04325724  0.16550131],Aave_S=0.0_D=30_M=Full History,[0.02030331 0.8571901  0.7300598  0.07438195],kelly,0.030453198201166168,0.23320941040921958,0.32391171325827606,0.41903069228279766,0.7110685689303734,-0.31066007860535616,-0.06589628192256783,0.045273415550707186,0.15714532189239083,0.5288098305467543
12,12,Aave,10.0,1,0.5,Full History,2020-10-14,2021-10-31,2020-10-14,2021-10-31,1.1,2.73972602739726,[0.26173112 0.50357822 0.59769032 0.70504564 0.97377383],[-0.72518892 -0.05995406  0.2065076   0.53015688  2.52780429],[-0.10161357  0.01029163  0.03238187  0.053953    0.13150768],Aave_S=10.0_D=1_M=Full History,[3.85733873e-03 1.81457565e-01 9.98148990e+01 8.86096651e-02],kelly,0.2617311245813703,0.5035782213077944,0.5976903215314724,0.7050456432542507,0.9737738318026057,-0.7251889162869861,-0.05995406486246635,0.20650759631349624,0.5301568818417495,2.5278042887915295
13,13,Aave,10.0,7,0.5,Full History,2020-10-14,2021-10-31,2020-10-14,2021-10-31,1.1,2.73972602739726,[0.21821305 0.38665485 0.48494487 0.59566442 0.92615135],[-0.61368193 -0.05095022  0.15324608  0.36293882  1.82088137],[-0.09239703  0.00545564  0.02908616  0.04978514  0.14846806],Aave_S=10.0_D=7_M=Full History,[0.01453137 0.54663634 0.59303408 0.09896914],kelly,0.21821305144826636,0.38665485317468773,0.4849448701763639,0.5956644203573974,0.9261513531027539,-0.6136819253523067,-0.0509502237226549,0.1532460804548068,0.362938824050017,1.8208813726153146
14,14,Aave,10.0,14,0.5,Full History,2020-10-14,2021-10-31,2020-10-14,2021-10-31,1.1,2.73972602739726,[0.11785039 0.35022582 0.45234331 0.5711008  0.84926075],[-0.39295818 -0.08934369  0.08369475  0.26001175  0.99904329],[-0.05288285 -0.00229321  0.02167901  0.04436863  0.12934057],Aave_S=10.0_D=14_M=Full History,[0.02037345 0.62078748 0.60359825 0.10676176],kelly,0.11785038627747482,0.3502258214294576,0.45234331426984237,0.571100796222241,0.8492607520645646,-0.39295818041522357,-0.08934368767983142,0.08369475224545042,0.26001175452295794,0.9990432890069485
15,15,Aave,10.0,30,0.5,Full History,2020-10-14,2021-10-31,2020-10-14,2021-10-31,1.1,2.73972602739726,[0.10036193 0.28827928 0.38275245 0.49732853 0.79288316],[-0.38388443 -0.07090228  0.07140276  0.2229426   0.71198464],[-0.05580401 -0.0027499   0.02035855  0.04553655  0.12884791],Aave_S=10.0_D=30_M=Full History,[0.03177136 0.77583614 0.68470187 0.11952141],kelly,0.10036193123368971,0.28827927543145127,0.38275245476823583,0.4973285322073675,0.7928831644605802,-0.38388443333883926,-0.07090228218602476,0.07140276494655551,0.22294259504808916,0.7119846394894354
16,16,Aave,20.0,1,0.5,Full History,2020-10-14,2021-10-31,2020-10-14,2021-10-31,1.2,2.73972602739726,[0.30088236 0.51285502 0.60207931 0.71885277 0.95354407],[-0.5647356  -0.05061237  0.18069563  0.54784205  2.08793248],[-0.05333303  0.01143552  0.03012204  0.05398044  0.11348641],Aave_S=20.0_D=1_M=Full History,[4.05957131e-03 1.08745367e-01 5.37177301e+01 1.60454058e-01],kelly,0.30088236189690015,0.512855016060088,0.6020793141400964,0.71885276999068,0.9535440749661281,-0.564735596027417,-0.05061237053394385,0.1806956338943957,0.5478420468723686,2.0879324820438034
17,17,Aave,20.0,7,0.5,Full History,2020-10-14,2021-10-31,2020-10-14,2021-10-31,1.2,2.73972602739726,[0.22873817 0.4183941  0.51825669 0.63331091 0.90960643],[-0.46047048 -0.07618576  0.122353    0.3585794   1.87715429],[-0.04916539  0.00405631  0.02543372  0.04733817  0.13240923],Aave_S=20.0_D=7_M=Full History,[0.01690393 0.41931951 0.58807088 0.14223255],kelly,0.2287381694578874,0.41839409862095994,0.5182566870887753,0.633310912137026,0.9096064303841994,-0.46047047667685226,-0.0761857604207141,0.12235300105233948,0.3585793976575416,1.8771542912150903
18,18,Aave,20.0,14,0.5,Full History,2020-10-14,2021-10-31,2020-10-14,2021-10-31,1.2,2.73972602739726,[0.17131993 0.38964972 0.48463145 0.57915409 0.87332613],[-0.48032669 -0.07473326  0.08347237  0.24911745  1.08189975],[-0.05902474  0.00137655  0.02124853  0.03989072  0.11550821],Aave_S=20.0_D=14_M=Full History,[0.0256172  0.51498301 0.57935498 0.14986193],kelly,0.17131993103044804,0.38964971772633866,0.48463145086167947,0.5791540879927282,0.873326131248836,-0.4803266855355105,-0.07473326244121503,0.08347236755697263,0.24911744809189057,1.0818997478217174
19,19,Aave,20.0,30,0.5,Full History,2020-10-14,2021-10-31,2020-10-14,2021-10-31,1.2,2.73972602739726,[0.10898799 0.28121154 0.38056308 0.50384204 0.87932901],[-0.5222363  -0.06193366  0.09080429  0.21733779  0.74933595],"[-7.90301710e-02  7.39205187e-05  2.33335479e-02  4.20974077e-02
  1.28045340e-01]",Aave_S=20.0_D=30_M=Full History,[0.03440785 0.67251251 0.60622933 0.14016008],kelly,0.10898798777700566,0.28121154053165115,0.3805630848847811,0.5038420430646308,0.8793290121387072,-0.522236295358772,-0.06193365738656878,0.09080429365749387,0.21733779473639958,0.749335949081722
