,Unnamed: 0,asset,strike_pct,duration,util,mood,option_type,train_start_date,train_end_date,date_start,date_end,strike,years,max_drawdown_percentiles,cagr_percentiles,sharpe_percentiles,asset_label,kelly_params,engine,0_percentile_max_drawdown,25_percentile_max_drawdown,50_percentile_max_drawdown,75_percentile_max_drawdown,100_percentile_max_drawdown,0_percentile_cagr,25_percentile_cagr,50_percentile_cagr,75_percentile_cagr,100_percentile_cagr
10,10,Aave,0.0,14,0.5,Full History,put,2020-10-14,2021-10-31,2020-10-14,2021-10-31,1.0,2.73972602739726,[0.13271564 0.29855604 0.38065946 0.4871086  0.79777218],[-0.43448098 -0.06988243  0.06029781  0.19865032  0.83185844],[-0.06489713 -0.00301698  0.01867135  0.04191025  0.16521045],Aave_put_S=0.0_D=14_M=Full History,[0.01347466 0.6923385  0.63816492 0.06731825],kelly,0.13271563827525953,0.2985560414022497,0.38065946384590793,0.4871086025434699,0.7977721757074302,-0.43448098434612015,-0.06988242633682565,0.06029781385000543,0.19865031806307148,0.8318584352240597
11,11,Aave,0.0,14,0.5,Full History,call,2020-10-14,2021-10-31,2020-10-14,2021-10-31,1.0,2.73972602739726,[0.21580277 0.50604277 0.63139216 0.75897428 0.99896647],[-0.8839267   0.01906842  0.40371365  0.88330965  3.28359217],[-0.05401417  0.02470511  0.04719426  0.07197502  0.15991861],Aave_call_S=0.0_D=14_M=Full History,[8.53279376e-02 1.30544002e+00 1.00000000e+02 1.94810686e-01],kelly,0.21580276824446623,0.5060427668867565,0.631392158653262,0.7589742792775952,0.9989664704777458,-0.8839267029801653,0.019068415536549588,0.40371365376344914,0.8833096468335714,3.2835921736948404
12,12,Aave,10.0,1,0.5,Full History,put,2020-10-14,2021-10-31,2020-10-14,2021-10-31,1.1,2.73972602739726,[0.29340824 0.50658498 0.60438159 0.71530489 0.94289948],[-0.60495471 -0.06938921  0.19899082  0.49238535  3.31579639],[-0.06738255  0.00915539  0.03176049  0.05156048  0.15140871],Aave_put_S=10.0_D=1_M=Full History,[3.85944023e-03 1.78309496e-01 9.98160954e+01 8.86083247e-02],kelly,0.29340823723146336,0.5065849791515433,0.6043815891822009,0.7153048910747826,0.9428994791092009,-0.6049547062430305,-0.06938921091537922,0.1989908243166657,0.49238534828396147,3.315796388775656
13,13,Aave,10.0,1,0.5,Full History,call,2020-10-14,2021-10-31,2020-10-14,2021-10-31,1.1,2.73972602739726,[0.10720802 0.23531961 0.29315374 0.3956293  0.7545389 ],[-0.37952662 -0.04865509  0.03038385  0.12347132  0.40725781],[-0.08791719 -0.00587155  0.0132004   0.03620372  0.11254464],Aave_call_S=10.0_D=1_M=Full History,[5.26152216e-04 2.69370216e-01 9.95401795e+01 5.31709349e-03],kelly,0.10720802109061613,0.2353196117711681,0.2931537438918772,0.3956292958819425,0.7545389039115521,-0.37952661648382546,-0.04865508798439852,0.03038385312311931,0.12347131727911109,0.4072578146933685
14,14,Aave,10.0,7,0.5,Full History,put,2020-10-14,2021-10-31,2020-10-14,2021-10-31,1.1,2.73972602739726,[0.14154606 0.38819171 0.48453458 0.60848152 0.9078084 ],[-0.54859546 -0.08414881  0.10394829  0.32026159  1.49405041],[-0.06868893  0.00144374  0.02385694  0.04663913  0.14665021],Aave_put_S=10.0_D=7_M=Full History,[0.01346459 0.53227178 0.63657315 0.10197944],kelly,0.14154605995258926,0.38819171006002606,0.48453457583756565,0.6084815173478278,0.9078084038544104,-0.548595463365428,-0.08414881304604957,0.10394829233381675,0.32026159120365977,1.4940504063675917
15,15,Aave,10.0,7,0.5,Full History,call,2020-10-14,2021-10-31,2020-10-14,2021-10-31,1.1,2.73972602739726,[0.18695793 0.40347673 0.5172868  0.64510408 0.90757837],[-0.54290486 -0.05448871  0.12601889  0.33426951  1.3689516 ],[-0.06528819  0.00794139  0.02709366  0.04797478  0.14346522],Aave_call_S=10.0_D=7_M=Full History,[0.01708361 1.18921445 2.07027793 0.06606318],kelly,0.18695793084748466,0.4034767322911588,0.5172868007084845,0.645104075558275,0.9075783654982326,-0.5429048597089122,-0.05448871496176122,0.12601888656162352,0.3342695137547744,1.368951598482309
16,16,Aave,10.0,14,0.5,Full History,put,2020-10-14,2021-10-31,2020-10-14,2021-10-31,1.1,2.73972602739726,[0.1469991  0.3468495  0.46579075 0.5717786  0.87027588],[-0.50929171 -0.09596527  0.07608221  0.28016291  1.04743566],[-0.06548692 -0.00249287  0.02066057  0.04714724  0.11241468],Aave_put_S=10.0_D=14_M=Full History,[0.02115221 0.63276617 0.62792534 0.11050909],kelly,0.1469990967531226,0.3468495027708878,0.46579074994581393,0.5717786027337177,0.8702758759847812,-0.5092917128671064,-0.09596526757471044,0.07608220724367865,0.28016291012023625,1.0474356564839673
17,17,Aave,10.0,14,0.5,Full History,call,2020-10-14,2021-10-31,2020-10-14,2021-10-31,1.1,2.73972602739726,[0.15547188 0.39641041 0.51236831 0.71136503 0.97508076],[-0.49933954  0.67596098  1.40579054  2.13639267  4.74451569],[-0.00763604  0.06289002  0.09339923  0.1235507   0.19902709],Aave_call_S=10.0_D=14_M=Full History,[1.63207547e-01 7.96226984e-07 1.00000000e+02 1.42708352e-01],kelly,0.15547188177270382,0.3964104102188982,0.5123683144535998,0.7113650333122385,0.9750807578945114,-0.4993395432791927,0.6759609825429878,1.40579053615315,2.1363926711260697,4.744515686250685
18,18,Bitcoin,-10.0,1,0.5,Full History,put,2017-01-02,2021-10-31,2017-01-02,2021-10-31,0.9,2.73972602739726,[0.08016902 0.19087198 0.25989985 0.35029711 0.76869198],[-0.40084393 -0.04492795  0.04350608  0.10249558  0.30296165],[-0.0757134  -0.00641134  0.01795875  0.03941434  0.18027749],Bitcoin_put_S=-10.0_D=1_M=Full History,[4.38256054e-04 5.12287642e-01 9.96107157e+01 1.74906512e-03],kelly,0.08016902297574992,0.19087197825810012,0.25989984979545,0.35029710680544085,0.7686919779366413,-0.40084392837538796,-0.04492795077499581,0.043506082160068904,0.10249558351514049,0.30296165338355086
19,19,Bitcoin,-10.0,1,0.5,Full History,call,2017-01-02,2021-10-31,2017-01-02,2021-10-31,0.9,2.73972602739726,[0.2891415  0.47726214 0.58535831 0.71455309 0.93572447],[-0.58791647 -0.03490556  0.21451003  0.57053358  1.93688983],[-0.05110666  0.0137515   0.0344003   0.05845523  0.13107496],Bitcoin_call_S=-10.0_D=1_M=Full History,[0.00365164 1.04147128 1.81768327 0.1175252 ],kelly,0.28914150477899003,0.477262135855406,0.5853583136952096,0.7145530883493418,0.9357244660277416,-0.5879164721204416,-0.03490555983881427,0.21451002749974069,0.5705335768925933,1.93688983105652
